FYS1000;03;GAP - FIRST YEAR SEMINAR;R;9:45AM;11:00AM;D'Angelo, Kate;NA'
FYS1001;01;TRANSFER STUDENTS - FIRST YEAR SEMINAR;R;11:30AM;12:45PM;;3'
GDR4615;01;GENDER AND REPRESENTATION;MW;3:00PM;4:35PM;Fisk, Matthew H;NA'
GDR4615;02;GENDER AND REPRESENTATION;;3:00PM;4:35PM;CANCEL, CANCEL;NA'
HIS4606;01;HISTORY AND CULTURE AMERICAN BUSINESS;TR;8:00AM;9:35AM;Schmitz, Paul;NA'
HIS4606;02;HISTORY AND CULTURE AMERICAN BUSINESS;TR;9:45AM;11:20AM;Schmitz, Paul;NA'
HIS4608;01;SOCIAL RESPONSIBILITY IN MALAYSIA;;9:45AM;11:20AM;Hoopes, James E Elective, Abroad;NA'
HIS4609;01;SPY LITERATURE AND THE COLD WAR;MW;1:15PM;2:50PM;Collins, Stephen L;NA'
HIS4613;01;THE POLITICS OF EMPIRE;TR;1:15PM;2:50PM;Hunt, Edward;NA'
HIS4630;01;C.I.A IN ASIA;TR;3:00PM;4:35PM;Bradford, James;NA'
HIS4640;01;FOOD AND CIVIL RIGHTS;MW;9:45AM;11:20AM;Opie, Frederick;NA'
HIS4640;02;FOOD AND CIVIL RIGHTS;MW;11:30AM;1:05PM;Opie, Frederick;NA'
HSS2000;01;MAKING OF MODERN AMERICA (HIS);TR;8:00AM;9:35AM;TBA;NA'
HSS2000;02;MAKING OF MODERN AMERICA (HIS);TR;9:45AM;11:20AM;Hunt, Edward;NA'
HSS2007;01;SF:GOLDEN CITIES:THE WEST AND URBAN AMER;12:00PM-1:15PM;9:45AM;11:20AM;Schmitz, Paul;NA'
HSS2025;01;DECOLONIZATION & REVOLUTION 20TH CENT;TR;11:30AM;1:05PM;Bradford, James;NA'
HSS2025;02;DECOLONIZATION & REVOLUTION 20TH CENT;TR;1:15PM;2:50PM;Bradford, James;NA'
HSS2028;01;GLOBAL POLITICS (POL);MW;1:15PM;2:50PM;Deets, Stephen;2'
HSS2033;01;COMPARATIVE POLITICS (POL);MW;11:30AM;1:05PM;Deets, Stephen;NA'
HSS2034;01;MODERN EUROPEAN HISTORY (HIS);MW;11:30AM;1:05PM;Collins, Stephen L;NA'
HUM4615;01;THE CITY AS TEXT: BARCELONA AND MADRID;;11:30AM;1:05PM;Rademacher, Virginia Elective, Abroad;NA'
HUM4616;01;FROM THE FRENCH REVOLUTION TO THE SEXUAL;TR;9:45AM;11:20AM;CANCEL, CANCEL Kelly, Kathleen A;2'
HUM4620;01;CONSTRUCTING AND PERFORMING THE SELF;TR;1:15PM;2:50PM;Wynstra, Beth;NA'
IMH2312;01;HONORS SEMINAR II;2:00AM-2:01AM;1:15PM;2:50PM;Hodge, Jon SPEC SCHED SEE DESC, -;2'
IMH2511;01;HONORS SEMINAR I;W;3:00PM;4:30PM;Soybel, Virginia E;NA'
IMH2511;02;HONORS SEMINAR I;W;4:45PM;6:15PM;Soybel, Virginia E;NA'
IND3504;01;INDEPENDENT RESEARCH;;4:45PM;6:15PM;Pachamanova, Dessislava;NA'
IND3504;02;INDEPENDENT RESEARCH;;4:45PM;6:15PM;Daniels, Caroline;NA'
INH3524;01;HONORS INDEPENDENT RESEARCH;;4:45PM;6:15PM;Yamakawa, Yasuhiro;NA'
INH3524;02;HONORS INDEPENDENT RESEARCH;;4:45PM;6:15PM;Parise, Sal;NA'
INH3624;01;HONORS INDEPENDENT RESEARCH;;4:45PM;6:15PM;Karst, Nathaniel;NA'
INH3624;02;HONORS INDEPENDENT RESEARCH;;4:45PM;6:15PM;Pachamanova, Dessislava;NA'
INH3624;04;HONORS INDEPENDENT RESEARCH;;4:45PM;6:15PM;Feld, Marjorie;NA'
INH3624;05;HONORS INDEPENDENT RESEARCH;;4:45PM;6:15PM;Chartier, Frederic;NA'
INH3624;06;HONORS INDEPENDENT RESEARCH;;4:45PM;6:15PM;Blodgett, David;NA'
INH3624;07;HONORS INDEPENDENT RESEARCH;;4:45PM;6:15PM;Ricciardi, Joseph M;NA'
INH3624;08;HONORS INDEPENDENT RESEARCH;;4:45PM;6:15PM;Harris, B. Neal;NA'
INH4614;01;HONORS INDEPENDENT RESEARCH;;4:45PM;6:15PM;Collins, Stephen L;NA'
INH4614;02;HONORS INDEPENDENT RESEARCH;;4:45PM;6:15PM;Li, Xinghua;NA'
INH4614;03;HONORS INDEPENDENT RESEARCH;;4:45PM;6:15PM;Krcmar, Danielle Seitz, Brian T;NA'
INH4614;04;HONORS INDEPENDENT RESEARCH;;4:45PM;6:15PM;Seitz, Brian T;NA'
INH4614;05;HONORS INDEPENDENT RESEARCH;;4:45PM;6:15PM;Mohaghegh, Jason B;NA'
INH4614;06;HONORS INDEPENDENT RESEARCH;;4:45PM;6:15PM;Feld, Marjorie;NA'
JPN4610;01;JAPANESE II LANGUAGE AND CULTURE;TR;11:30AM;1:05PM;Abramoff, Kimiko Ise;NA'
LAW1000;01;BUSINESS LAW;MW;8:00AM;9:35AM;Weil, Amy;3'
LAW1000;02;BUSINESS LAW;MW;9:45AM;11:20AM;Sulkowski, Adam J;3'
LAW1000;03;BUSINESS LAW;MW;11:30AM;1:05PM;Sulkowski, Adam J;3'
LAW1000;04;BUSINESS LAW;MW;1:15PM;2:50PM;Kirschner, Cheryl;3'
LAW1000;05;BUSINESS LAW;MW;3:00PM;4:35PM;Kirschner, Cheryl;3'
LAW1000;06;BUSINESS LAW;TR;3:00PM;4:35PM;Barry, Robert B;3'
LAW1000;07;BUSINESS LAW;TR;8:00AM;9:35AM;Musi, Michael;3'
LAW1000;08;BUSINESS LAW;TR;9:45AM;11:20AM;Lester, Toni P;3'
LAW1000;09;BUSINESS LAW;TR;11:30AM;1:05PM;Nersessian, David;3'
LAW1000;10;BUSINESS LAW;TR;1:15PM;2:50PM;Nersessian, David;3'
LAW1000;11;BUSINESS LAW;TR;4:45PM;6:20PM;Ehrlich, Craig P;3'
LAW3515;01;ENTERTAINMENT LAW;TR;1:15PM;2:50PM;Lester, Toni P;NA'
LAW3525;01;WHITE COLLAR AND CORPORATE CRIME;TR;11:30AM;1:05PM;Ehrlich, Craig P;NA'
LAW3560;01;INTERNATIONAL LAW FOR BUSINESS;MW;11:30AM;1:05PM;Kirschner, Cheryl;NA'
LAW3573;01;BUILDING CONTRACTS FOR NEW VENTURE;TR;3:00PM;4:35PM;Ehrlich, Craig P;NA'
LAW3661;01;AMER CONST LAW: CIVIL RIGHTS, LIBERTIES;TR;9:45AM;11:20AM;Mandel, Richard P;NA'
LIB5650;01;CROSS REGISTRATION TO WELLESLEY COLLEGE;;9:45AM;11:20AM;;NA'
LIB5651;01;CROSS REGISTRATION TO WELLESLEY COLLEGE;;9:45AM;11:20AM;;NA'
LIB5652;01;CROSS REGISTRATION TO WELLESLEY COLLEGE;;9:45AM;11:20AM;;NA'
LIT4600;01;MODERN DRAMA;TR;9:45AM;11:20AM;Dietrick, Jon;NA'
LIT4600;02;MODERN DRAMA;TR;1:15PM;2:50PM;Dietrick, Jon;NA'
LIT4607;A01;SPORTS AND LITERATURE;MW;8:00AM;9:35AM;O'Donoghue, Mary;NA'
LIT4607;A02;SPORTS AND LITERATURE;MW;9:45AM;11:20AM;O'Donoghue, Mary;NA'
LIT4611;01;THE EAST AND THE WEST:WRITINGS OF TRESPA;TR;3:00PM;4:35PM;Mohaghegh, Jason B;NA'
LIT4611;02;THE EAST AND THE WEST:WRITINGS OF TRESPA;TR;4:45PM;6:20PM;Mohaghegh, Jason B;NA'
LIT4676;01;IMAGINING NATURE, IMAGINING OURSELVES;TR;11:30AM;1:05PM;Fleischmann, Fritz;NA'
LVA2002;01;SF:THEATER POLITICS AND PERFORMANCE SF;TR;3:30PM;4:45PM;Wynstra, Beth;NA'
LVA2009;01;AMERICAN FILM HISTORY (FLM);TR;9:45AM;11:20AM;TBA;NA'
LVA2009;02;AMERICAN FILM HISTORY (FLM);TR;11:30AM;1:05PM;TBA;NA'
LVA2022;01;THE SPECULATIVE GENRES;MW;8:00AM;9:35AM;Martin, Michael;NA'
LVA2022;02;THE SPECULATIVE GENRES;MW;9:45AM;11:20AM;Martin, Michael;NA'
LVA2032;01;FOUNDATIONS OF WESTERN ART;MW;9:45AM;11:20AM;Moriarty, Phyllis A;NA'
LVA2032;02;FOUNDATIONS OF WESTERN ART;MW;11:30AM;1:05PM;Moriarty, Phyllis A;NA'
LVA2039;01;CURIOSITY IN LITERATURE;MW;11:30AM;1:05PM;Leonard, Melissa;NA'
LVA2050;01;CROSS REGISTRATION TO WELLESLEY COLLEGE;;11:30AM;1:05PM;;NA'
LVA2069;01;UTOPIA AND DYSTOPIA:LIT  CULTURAL EXPRES;MW;9:45AM;11:20AM;Miller, Weston;3'
LVA2069;02;UTOPIA AND DYSTOPIA:LIT  CULTURAL EXPRES;MW;1:15PM;2:50PM;Miller, Weston;3'
LVA2078;01;MAD, BAD, REBELS AND ANTIHEROS;TR;8:00AM;9:35AM;Donovan, Kellie;NA'
MFE3508;01;MCFE: INT CONSULTING EXP ARGENTINA;;8:00AM;9:35AM;Gertz, Dwight L Elective, Abroad;NA'
MFE3534;01;MCFE: RED SOX;;8:00AM;9:35AM;Weintraub, Joseph R;NA'
MFE3534;02;MCFE: PUMA;;8:00AM;9:35AM;Weintraub, Joseph R;NA'
MFE3534;03;MCFE: FIDELITY;;8:00AM;9:35AM;Weintraub, Joseph R;NA'
MFE3534;04;MCFE: LOOKOUT FARM;;8:00AM;9:35AM;Weintraub, Joseph R;NA'
MFE3534;05;MCFE: TALBOTS;;8:00AM;9:35AM;Weintraub, Joseph R;NA'
MFE3534;06;MCFE: STACEYS JUICEBAR;;8:00AM;9:35AM;Weintraub, Joseph R;NA'
MFE3534;07;MCFE: CLARKSTON PIRATE;;8:00AM;9:35AM;Weintraub, Joseph R;NA'
MFE3534;08;MCFE: ZOOMCAR;;8:00AM;9:35AM;Weintraub, Joseph R;NA'
MFE3534;09;MCFE: COHEN EQUITIES;;8:00AM;9:35AM;Weintraub, Joseph R;NA'
MFE3534;10;MCFE: CLARKSTON BIG DATA;;8:00AM;9:35AM;Weintraub, Joseph R;NA'
MFE3534;11;MCFE: ALPS & METERS;;8:00AM;9:35AM;Weintraub, Joseph R;NA'
MFE3534;12;MCFE: MA SIBLING SUPPORT;;8:00AM;9:35AM;Weintraub, Joseph R;NA'
MIS1200;01;CROSS REGISTRATION TO OLIN COLLEGE;;8:00AM;9:35AM;;NA'
MIS2645;A01;MODELING WITH EXCEL;MW;8:00AM;9:35AM;Dewire, Dawna T;2'
MIS2645;B01;MODELING WITH EXCEL;MW;8:00AM;9:35AM;Dewire, Dawna T;2'
MIS3525;01;ENTERPRISE 2.0 BUILDING SOCIAL NETWORKS;11:11AM-11:22AM;8:00AM;9:35AM;Parise, Sal Blended, Format SPEC SCHED SEE DESC, -;NA'
MIS3525;02;ENTERPRISE 2.0 BUILDING SOCIAL NETWORKS;11:11AM-11:12AM;8:00AM;9:35AM;CANCEL, CANCEL Blended, Format Parise, Sal SPEC SCHED SEE DESC, -;NA'
MIS3535;01;SCALING LEAN VENTURE AND FAMILY BUSINESS;MW;9:45AM;11:20AM;Goulding, Richard A;NA'
MIS3535;02;SCALING LEAN VENTURE AND FAMILY BUSINESS;;9:45AM;11:20AM;CANCEL, CANCEL Glover, Wiljeana;NA'
MIS3545;01;BUSINESS INTELLIGENCE AND DATA ANALYTICS;MW;11:30AM;1:05PM;Li, Zhi;3'
MIS3545;02;BUSINESS INTELLIGENCE AND DATA ANALYTICS;MW;1:15PM;2:50PM;Li, Zhi;3'
MIS3610;A01;THE MOBILE APP;W;6:00PM;9:10PM;Gillan Huang, Clare;NA'
MIS3615;01;CREATING TECH-SAVVY ENTREPRENEURS;1:01AM-1:02AM;6:00PM;9:10PM;Shankar, G. SPEC SCHED SEE DESC, -;NA'
MIS3620;01;COMPUTER AND NETWORK SECURITY;MW;3:00PM;4:35PM;Duby, Tova;NA'
MIS3635;B01;USER INTERFACE DESIGN;1:01AM-1:02AM;3:00PM;4:35PM;Palson, Eric B SPEC SCHED SEE DESC, -;NA'
MIS3690;01;WEB TECHNOLOGIES;TR;4:45PM;6:20PM;Palson, Eric B;3'
MIS3690;02;WEB TECHNOLOGIES;TR;9:45AM;11:20AM;Shankar, G.;3'
MIS3690;03;WEB TECHNOLOGIES;MW;11:30AM;1:05PM;Dewire, Dawna T;3'
MKT3510;01;MARKETING RESEARCH;TR;3:00PM;4:35PM;Hill, Krista;3'
MKT3515;01;DIGITAL MARKETING;MW;1:15PM;2:50PM;Hanna, Richard C;NA'
